"Account","счет"
"Compare", "сравнить"
"Cart", "тележка"
"Total", "общий"
"View shopping cart", "Посмотреть корзину"
"Search", "поиск"
"View All", "Просмотреть все"
"Log In", "Войти"
"Log Out", "Выход"
"Wishlist", "Список желаний"
"Checkout", "контроль"
"MENU", "МЕНЮ"
"Add to Cart", "Добавить в корзину"
"Add to Compare", "Добавить в сравнение"
"Add to Wish List", "Добавить в личный список"
"scroll to view content", "прокрутки для просмотра содержимого"
"FACEBOOK", "FACEBOOK"
"TWITTER FEEDS", "щебетать каналы"
"Video", "видео"
"Find Us", "Найти нас"
"Sale", "продажа"
"New", "новый"
"Quick View", "Быстрый просмотр"
"NEWSLETTER SIGNUP", "ПОДПИСКА НА НОВОСТИ"
"Enter your email and we'll send you a coupon with 10% off your next order.", "Введите адрес электронной почты, и мы вышлем вам купон с 10% от вашего следующего заказа."
"Your E-mail...", "Ваш адрес электронной почты ..."
"Select Store:", "Выберите магазин:"
"Sign Up for Our Newsletter to receive latest news and events.", "Подписаться на нашу рассылку, чтобы получать последние новости и события."
"SHOP BY CATEGORIES", "ТОВАРЫ ПО КАТЕГОРИИ"
"This limited  offer ends in", "Это ограниченное предложение заканчивается"
"Years", "Годы"
"Year", "год"
"Months", "месяцев"
"Month", "месяц"
"Weeks", "Недели"
"Week", "неделя"
"Days", "Дни"
"Day", "день"
"Hours", "часов"
"Hour", "час"
"Minutes", "минут"
"Minute", "минут"
"Seconds", "секунды"
"Second", "второй"
"y", "y"
"m", "m"
"w", "w"
"d", "d"
"0", "0"
"1", "1"
"2", "2"
"3", "3"
"4", "4"
"5", "5"
"6", "6"
"7", "7"
"8", "8"
"9", "9"
"Quantity", "количество"
"BUY NOW", "КУПИТЬ"
"Description", "описание"
"Description", "описание"
"Reviews", "Отзывы"
"Tags", "Метки"
"View", "вид"
"SEND MESSAGE", "ОТПРАВИТЬ СООБЩЕНИЕ"
"Product", "продукт"
"Price", "цена"
"Quantity", "количество"
"View full info", "Посмотреть полную информацию"
"View", "вид"
"Read More", "Подробнее"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","Продолжить чтение <span class=\"icon icon-arrow-right-5\"></span>"
"Name:", "Имя:"
"E-Mail:", "E-Mail:"
"Comment", "комментарий"
"Website:", "Сайт:"
"Your browser doesn't support 3D gallery. Please update to modern browser.", "Ваш браузер не поддерживает 3D галерея. Пожалуйста, обновите в современном браузере."
"all", "все"
"My Wishlist","Мой список пожеланий"
"My Wishlist (%d item)","Мой список пожеланий (%d пункт)"
"My Wishlist (%d items)","Мой список пожеланий (%d пункты)"
"Cart (%s item)","Корзина (пункт %s)"
"Cart (%s items)","Корзина (%s элементов)"
"Compare (0)","Сравнить (0)"
"Compare (%d items)","Сравнить (%d элементы)"
"Compare (%d item)","Сравнить (%d пункт)"
"was added to your cart","был добавлен в Вашу корзину"
