"Account","cuenta"
"Compare", "comparar"
"Cart", "carro"
"Total", "total"
"View shopping cart", "Ver el carrito de la compra"
"Search", "búsqueda"
"View All", "ver todos"
"Log In", "acceder"
"Log Out", "finalizar la sesión"
"Wishlist", "Lista"
"Checkout", "caja"
"MENU", "MENU"
"Add to Cart", "Añadir a la Cesta"
"Add to Compare", "Añadir para comparar"
"Add to Wish List", "Añadir a la lista de favoritos"
"scroll to view content", "desplazarse para ver el contenido"
"FACEBOOK", "FACEBOOK"
"TWITTER FEEDS", "PIENSOS TWITTER"
"Video", "vídeo"
"Find Us", "encontrarnos"
"Sale", "venta"
"New", "nuevo"
"Quick View", "Vista rápida"
"NEWSLETTER SIGNUP", "NEWSLETTER SUSCRÍBETE"
"Enter your email and we'll send you a coupon with 10% off your next order.", "Ingrese su correo electrónico y le enviaremos un cupón con un 10% de descuento en su próximo pedido."
"Your E-mail...", "Tu E-mail ..."
"Select Store:", "Seleccionar tienda:"
"Sign Up for Our Newsletter to receive latest news and events.", "Suscríbase a nuestro boletín para recibir las últimas noticias y eventos."
"SHOP BY CATEGORIES", "COMPRAR POR CATEGORÍAS"
"This limited  offer ends in", "Esta oferta limitada termina en"
"Years", "años"
"Year", "año"
"Months", "Meses"
"Month", "mes"
"Weeks", "semanas"
"Week", "semana"
"Days", "días"
"Day", "día"
"Hours", "Horas"
"Hour", "hora"
"Minutes", "acta"
"Minute", "minuto"
"Seconds", "segundos"
"Second", "segundo"
"y", "y"
"m", "m"
"w", "w"
"d", "d"
"0", "0"
"1", "1"
"2", "2"
"3", "3"
"4", "4"
"5", "5"
"6", "6"
"7", "7"
"8", "8"
"9", "9"
"Quantity", "cantidad"
"BUY NOW", "COMPRA AHORA"
"Description", "descripción"
"Description", "descripción"
"Reviews", "Comentarios"
"Tags", "Etiquetas"
"View", "vista"
"SEND MESSAGE", "ENVIAR MENSAJE"
"Product", "producto"
"Price", "precio"
"Quantity", "cantidad"
"View full info", "Ver información completa"
"View", "vista"
"Read More", "Leer más"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","Sigue leyendo <span class=\"icon icon-arrow-right-5\"></span>"
"Name:", "Nombre:"
"E-Mail:", "E-Mail:"
"Comment", "comentario"
"Website:", "Sitio web:"
"Your browser doesn't support 3D gallery. Please update to modern browser.", "Su navegador no soporta Galería 3D. Por favor actualice al navegador moderno."
"all", "todo"
"My Wishlist","Mi lista de deseos"
"My Wishlist (%d item)","Lista de Deseos (%d punto)"
"My Wishlist (%d items)","Lista de Deseos (%d artículos)"
"Cart (%s item)","Cesta (elemento %s)"
"Cart (%s items)","Cesta (%s artículos)"
"Compare (0)","Comparar (0)"
"Compare (%d items)","Comparar (%d artículos)"
"Compare (%d item)","Comparar (%d punto)"
"was added to your cart","fue agregado a su carrito"
