"Account","アカウント"
"Compare", "比較する"
"Cart", "カート"
"Total", "合計"
"View shopping cart", "Vカートの中を見る"
"Search", "検索"
"View All", "すべてを表示"
"Log In", "ログイン"
"Log Out", "ログアウトする"
"Wishlist", "ほしい物リスト"
"Checkout", "チェックアウト"
"MENU", "メニュー"
"Add to Cart", "カートに入れる"
"Add to Compare", "比較対象に追加"
"Add to Wish List", "リストをウィッシュリストに追加する"
"scroll to view content", "コンテンツを視聴するには、スクロール"
"FACEBOOK", "FACEBOOK"
"TWITTER FEEDS", "Twitterのフィードを"
"Video", "ビデオ"
"Find Us", "私たちを見つける"
"Sale", "売却"
"New", "新しい"
"Quick View", "クイックビュー"
"NEWSLETTER SIGNUP", "ニュースレターの登録"
"Enter your email and we'll send you a coupon with 10% off your next order.", "あなたのメールアドレスを入力し、我々はあなたの次の順序10％オフであなたにクーポンをご用意しています。"
"Your E-mail...", "あなたのEメール···"
"Select Store:", "ストアを選択："
"Sign Up for Our Newsletter to receive latest news and events.", "最新のニュースやイベントを受信するために、私たちのニュースレターにサインアップしてください。"
"SHOP BY CATEGORIES", "カテゴリ別ショップ "
"This limited  offer ends in", "この限られたオファーで終わる"
"Years", "年"
"Year", "年"
"Months", "ヶ月"
"Month", "月"
"Weeks", "ウィークス"
"Week", "週"
"Days", "日"
"Day", "日"
"Hours", "営業時間"
"Hour", "時間"
"Minutes", "分"
"Minute", "分"
"Seconds", "秒"
"Second", "第2"
"y", "y"
"m", "m"
"w", "w"
"d", "d"
"0", "0"
"1", "1"
"2", "2"
"3", "3"
"4", "4"
"5", "5"
"6", "6"
"7", "7"
"8", "8"
"9", "9"
"Quantity", "数量"
"BUY NOW", "今すぐ購入"
"Description", "説明"
"Description", "説明"
"Reviews", "レビュー"
"Tags", "タグ"
"View", "ビュー"
"SEND MESSAGE", "メッセージを送る"
"Product", "製品"
"Price", "価格"
"Quantity", "数量"
"View full info", "フルの情報を見る "
"View", "ビュー"
"Read More", "続きを読む"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","続きを読む<span class=\"icon icon-arrow-right-5\"></span>"
"Name:", "名前："
"E-Mail:", "メールアドレス:"
"Comment", "コメント"
"Website:", "ウェブサイト："
"Your browser doesn't support 3D gallery. Please update to modern browser.", "お使いのブラウザは、3Dギャラリーをサポートしていません。最新のブラウザにアップデートしてください。"
"all", "すべて"
"My Wishlist","私の欲しい物のリスト"
"My Wishlist (%d item)","私の欲しい物のリスト（％d 個のアイテム）"
"My Wishlist (%d items)","私の欲しい物のリスト（％d 個のアイテム）"
"Cart (%s item)","カート（％s のアイテム）"
"Cart (%s items)","カート（％s の商品）"
"Compare (0)","比較（0)"
"Compare (%d items)","（％d 個の項目）を比較 "
"Compare (%d item)","（％d 個の項目）を比較 "
"was added to your cart","ショッピングカートに追加されました"
