"Account","λογαριασμός"
"Compare", "Σύγκριση"
"Cart", "καλάθι"
"Total", "σύνολο"
"View shopping cart", "Δείτε το καλάθι αγορών"
"Search", "έρευνα"
"View All", "Εμφάνιση όλων"
"Log In", "Σύνδεση"
"Log Out", "Αποσύνδεση"
"Wishlist", "Επιθυμητά"
"Checkout", "Ταμείο"
"MENU", "MENU"
"Add to Cart", "Προσθήκη στο Καλάθι"
"Add to Compare", "Πρόσθεση στην Σύγκριση"
"Add to Wish List", "Προσθήκη στη Λίστα Επιθυμίας"
"scroll to view content", "μετακινηθείτε για να δείτε το περιεχόμενο"
"FACEBOOK", "FACEBOOK"
"TWITTER FEEDS", "TWITTER-FEEDS"
"Video", "βίντεο"
"Find Us", "βρείτε μας"
"Sale", "πώληση"
"New", "νέος"
"Quick View", "Quick View"
"NEWSLETTER SIGNUP", "Εγγραφή στο Newsletter"
"Enter your email and we'll send you a coupon with 10% off your next order.", "Εισάγετε το email σας και θα σας στείλουμε ένα κουπόνι με 10% έκπτωση στην επόμενη παραγγελία σας."
"Your E-mail...", "Το E-mail ..."
"Select Store:", "Επιλέξτε Κατάστημα:"
"Sign Up for Our Newsletter to receive latest news and events.", "Εγγραφείτε στο Newsletter μας για να λαμβάνετε τα τελευταία νέα και τις εκδηλώσεις."
"SHOP BY CATEGORIES", "ΑΓΟΡΑ ΚΑΤΑ ΚΑΤΗΓΟΡΙΕΣ"
"This limited  offer ends in", "Αυτή η περιορισμένη προσφορά λήγει σε"
"Years", "έτη"
"Year", "έτος"
"Months", "μήνες"
"Month", "μήνας"
"Weeks", "εβδομάδες"
"Week", "εβδομάδα"
"Days", "ημέρες"
"Day", "ημέρα"
"Hours", "ώρες"
"Hour", "ώρα"
"Minutes", "πρακτικά"
"Minute", "λεπτό"
"Seconds", "δευτερόλεπτα"
"Second", "δεύτερος"
"y", "y"
"m", "m"
"w", "w"
"d", "δ"
"0", "0"
"1", "1"
"2", "2"
"3", "3"
"4", "4"
"5", "5"
"6", "6"
"7", "7"
"8", "8"
"9", "9"
"Quantity", "ποσότητα"
"BUY NOW", "ΑΓΟΡΑ"
"Description", "περιγραφή"
"Description", "περιγραφή"
"Reviews", "κριτικές"
"Tags", "Ετικέτες"
"View", "θέα"
"SEND MESSAGE", "ΣΤΕΙΛΤΕ ΜΗΝΥΜΑ"
"Product", "προϊόν"
"Price", "τιμή"
"Quantity", "ποσότητα"
"View full info", "Δείτε τα πλήρη στοιχεία"
"View", "θέα"
"Read More", "Διαβάστε περισσότερα"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","Συνέχεια ανάγνωση <span class=\"icon icon-arrow-right-5\"></span>"
"Name:", "Όνομα:"
"E-Mail:", "E-Mail:"
"Comment", "σχόλιο"
"Website:", "Website:"
"Your browser doesn't support 3D gallery. Please update to modern browser.", "Ο φυλλομετρητής σας δεν υποστηρίζει 3D γκαλερί. Σας παρακαλούμε να ενημερώσετε με σύγχρονο πρόγραμμα περιήγησης."
"all", "όλα"
"My Wishlist","Τα Επιθυμητά μου"
"My Wishlist (%d item)","Τα Επιθυμητά μου (%d στοιχείο)"
"My Wishlist (%d items)","Τα Επιθυμητά μου (%d στοιχεία)"
"Cart (%s item)","Καλάθι (στοιχείο %s)"
"Cart (%s items)","Καλάθι (%s αντικείμενα)"
"Compare (0)","Σύγκριση (0)"
"Compare (%d items)","Σύγκριση (%d στοιχεία)"
"Compare (%d item)","Σύγκριση (%d στοιχείο)"
"was added to your cart","προστέθηκε στο καλάθι σας"
