"Account","حساب"
"Compare", "مقارنة"
"Cart", "العربة"
"Total", "مجموع"
"View shopping cart", "عرض عربة التسوق"
"Search", "بحث"
"View All", "عرض جميع"
"Log In", "دخول"
"Log Out", "خروج"
"Wishlist", "الأماني"
"Checkout", "الخروج"
"MENU", "MENU"
"Add to Cart", "إضافة إلى العربة"
"Add to Compare", "إضافة إلى المقارنة"
"Add to Wish List", "اضافة إلى قائمة الرغبات"
"scroll to view content", "انتقل إلى عرض المحتوى"
"FACEBOOK", "الفيسبوك"
"TWITTER FEEDS", "FEEDS تويتر"
"Video", "فيديو"
"Find Us", "تجد بنا"
"Sale", "بيع"
"New", "جديد"
"Quick View", "عرض سريع"
"NEWSLETTER SIGNUP", "الاشتراك في الرسائل الإخبارية"
"Enter your email and we'll send you a coupon with 10% off your next order.", "ادخل بريدك الإلكتروني وسوف نرسل لك قسيمة مع 10٪ من طلبك المقبل."
"Your E-mail...", "إرسال إلى صديق الخاص بك ..."
"Select Store:", "حدد المتجر:"
"Sign Up for Our Newsletter to receive latest news and events.", "اشترك في النشرة الإخبارية لتلقي آخر الأخبار والأحداث."
"SHOP BY CATEGORIES", "تسوق حسب الفئات "
"This limited  offer ends in", "هذا العرض محدود ينتهي في"
"Years", "سنوات"
"Year", "عام"
"Months", "أشهر"
"Month", "شهر"
"Weeks", "أسابيع"
"Week", "أسبوع"
"Days", "أيام"
"Day", "يوم"
"Hours", "ساعات"
"Hour", "ساعة"
"Minutes", "دقيقة"
"Minute", "دقيقة"
"Seconds", "ثواني"
"Second", "ثان"
"y", "ذ"
"m", "م"
"w", "ث"
"d", "ð"
"0", "0"
"1", "1"
"2", "2"
"3", "3"
"4", "4"
"5", "5"
"6", "6"
"7", "7"
"8", "8"
"9", "9"
"Quantity", "كمية"
"BUY NOW", "اشتري الآن"
"Description", "وصف"
"Description", "وصف"
"Reviews", "التعليقات"
"Tags", "الكلمات"
"View", "رأي"
"SEND MESSAGE", "إرسال رسالة"
"Product", "نتاج"
"Price", "السعر"
"Quantity", "كمية"
"View full info", "عرض معلومات كاملة"
"View", "رأي"
"Read More", "المزيد"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","مواصلة القراءة <span class=\"icon icon-arrow-right-5\"></span>"
"Name:", "الاسم:"
"E-Mail:", "البريد الإلكتروني:"
"Comment", "تعليق"
"Website:", "الموقع:"
"Your browser doesn't support 3D gallery. Please update to modern browser.", "متصفحك لا يدعم 3D معرض. يرجى تحديث المتصفح إلى الحديث. "
"all", "كل"
"My Wishlist","قائمة الرغبات"
"My Wishlist (%d item)","بلدي قائمة الملاحظة (%d البند)"
"My Wishlist (%d items)","بلدي قائمة الملاحظة (%d المقالات)"
"Cart (%s item)","عربة (البند%s)"
"Cart (%s items)","عربة (%s البنود)"
"Compare (0)","مقارنة (0)"
"Compare (%d items)","قارن بين (%d المقالات)"
"Compare (%d item)","قارن بين (%d البند)"
"was added to your cart","تم إضافتها إلى عربة التسوق"
