"Account","konto"
"Compare", "porównać"
"Cart", "Koszyk"
"Total", "całkowity"
"View shopping cart", "Zobacz koszyk"
"Search", "poszukiwanie"
"View All", "Zobacz wszystkie"
"Log In", "Zaloguj"
"Log Out", "Wyloguj"
"Wishlist", "Lista życzeń"
"Checkout", "Zamówienie"
"MENU", "MENU"
"Add to Cart", "Dodaj do koszyka"
"Add to Compare", "Dodaj do porównania"
"Add to Wish List", "Dodaj do listy życzeń"
"scroll to view content", "przewiń aby zobaczyć treść "
"FACEBOOK", "FACEBOOK"
"TWITTER FEEDS", "Pasze TWITTER"
"Video", "wideo"
"Find Us", "Znajdź nas"
"Sale", "sprzedaż"
"New", "nowy"
"Quick View", "Quick View"
"NEWSLETTER SIGNUP", "NEWSLETTER MONITORING"
"Enter your email and we'll send you a coupon with 10% off your next order.", "Wpisz swój adres e-mail, a my wyślemy Ci kupon z 10% od następnej kolejności."
"Your E-mail...", "Twój e-mail ..."
"Select Store:", "Wybierz sklep:"
"Sign Up for Our Newsletter to receive latest news and events.", "Zapisz się do newslettera, aby otrzymywać najnowsze informacje i wydarzenia."
"SHOP BY CATEGORIES", "WEDŁUG KATEGORII"
"This limited  offer ends in", "Ta ograniczona oferta kończy się w"
"Years", "lat"
"Year", "rok"
"Months", "miesięcy"
"Month", "miesiąc"
"Weeks", "tygodnie"
"Week", "tydzień"
"Days", "dni"
"Day", "dzień"
"Hours", "godziny"
"Hour", "godzina"
"Minutes", "protokół"
"Minute", "minuta"
"Seconds", "sekund"
"Second", "drugi"
"y", "y"
"m", "m"
"w", "w"
"d", "d"
"0", "0"
"1", "1"
"2", "2"
"3", "3"
"4", "4"
"5", "5"
"6", "6"
"7", "7"
"8", "8"
"9", "9"
"Quantity", "ilość"
"BUY NOW", "KUP TERAZ"
"Description", "opis"
"Description", "opis"
"Reviews", "Recenzje"
"Tags", "Tagi"
"View", "widok"
"SEND MESSAGE", "Wysłać wiadomość"
"Product", "produkt"
"Price", "cena"
"Quantity", "ilość"
"View full info", "Zobacz pełne informacje"
"View", "widok"
"Read More", "Czytaj więcej"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","Kontynuuj czytanie <span class=\"icon icon-arrow-right-5\"></span>"
"Name:", "Nazwa:"
"E-Mail:", "E-Mail:"
"Comment", "komentarz"
"Website:", "strona www:"
"Your browser doesn't support 3D gallery. Please update to modern browser.", "Twoja przeglądarka nie obsługuje galerii 3D. Proszę zaktualizować do nowoczesnej przeglądarki."
"all", "wszystko"
"My Wishlist","Moja lista życzeń"
"My Wishlist (%d item)","Moja lista życzeń (%d pkt)"
"My Wishlist (%d items)","Moja lista życzeń (%d pozycji)"
"Cart (%s item)","Koszyk (%s element)"
"Cart (%s items)","Koszyk (%s pozycji)"
"Compare (0)","Porównaj (0)"
"Compare (%d items)","Porównaj (%d pozycji)"
"Compare (%d item)","Porównaj (%d pkt)"
"was added to your cart","został dodany do koszyka"
